"","abilities","against_bug","against_dark","against_dragon","against_electric","against_fairy","against_fighting","against_fire","against_flying","against_ghost","against_grass","against_ground","against_ice","against_normal","against_poison","against_psychic","against_rock","against_steel","against_water","attack","base_egg_steps","base_happiness","base_total","capture_rate","classfication","defense","experience_growth","height_m","hp","japanese_name","name","percentage_male","pokedex_number","sp_attack","sp_defense","speed","type1","type2","weight_kg","generation","is_legendary","sprite","est_damage_output","est_damage_taken"
"1","['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,"45","Seed Pokémon",49,1059860,0.7,45,"Fushigidaneフシギダネ","Bulbasaur",88.1,1,65,65,45,"grass","poison",6.9,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/1.png",0.736507936507937,0.999136577708006
"2","['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,"45","Seed Pokémon",63,1059860,1,60,"Fushigisouフシギソウ","Ivysaur",88.1,2,80,80,60,"grass","poison",13,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/2.png",0.917207792207792,0.791170634920635
"3","['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,625,"45","Seed Pokémon",123,1059860,2,80,"Fushigibanaフシギバナ","Venusaur",88.1,3,122,120,80,"grass","poison",100,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/3.png",1.43846153846154,0.453506097560976
"4","['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,"45","Lizard Pokémon",43,1059860,0.6,39,"Hitokageヒトカゲ","Charmander",88.1,4,60,50,65,"fire",NA,8.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/4.png",0.788732394366197,1.42267441860465
"5","['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,"45","Flame Pokémon",58,1059860,1.1,58,"Lizardoリザード","Charmeleon",88.1,5,80,65,80,"fire",NA,19,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/5.png",1.01408450704225,1.07228116710875
"6","['Blaze', 'Solar Power']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,"45","Flame Pokémon",78,1059860,1.7,78,"Lizardonリザードン","Charizard",88.1,6,159,115,100,"fire","flying",90.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/6.png",1.65090909090909,0.70958751393534
"7","['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,"45","Tiny Turtle Pokémon",65,1059860,0.5,44,"Zenigameゼニガメ","Squirtle",88.1,7,50,64,43,"water",NA,9,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/7.png",0.676190476190476,1.01141826923077
"8","['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,"45","Turtle Pokémon",80,1059860,1,59,"Kameilカメール","Wartortle",88.1,8,65,80,58,"water",NA,22.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/8.png",0.883333333333333,0.8125
"9","['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,"45","Shellfish Pokémon",120,1059860,1.6,79,"Kamexカメックス","Blastoise",88.1,9,135,115,78,"water",NA,85.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/9.png",1.63611111111111,0.557971014492754
"10","['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,"255","Worm Pokémon",35,1000000,0.3,45,"Caterpieキャタピー","Caterpie",50,10,20,20,45,"bug",NA,2.9,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/10.png",0.357142857142857,2.25
"11","['Shed Skin']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,205,"120","Cocoon Pokémon",55,1000000,0.7,50,"Transelトランセル","Metapod",50,11,25,25,30,"bug",NA,9.9,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/11.png",0.323412698412698,1.63636363636364
"12","['Compoundeyes', 'Tinted Lens']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,395,"45","Butterfly Pokémon",50,1000000,1.1,60,"Butterfreeバタフリー","Butterfree",50,12,90,80,70,"bug","flying",32,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/12.png",0.964285714285714,0.96375
"13","['Shield Dust', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,195,"255","Hairy Pokémon",30,1000000,0.3,40,"Beedleビードル","Weedle",50,13,20,20,50,"bug","poison",3.2,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/13.png",0.379304160688666,2.40833333333333
"14","['Shed Skin']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,205,"120","Cocoon Pokémon",50,1000000,0.6,45,"Cocoonコクーン","Kakuna",50,14,25,25,35,"bug","poison",10,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/14.png",0.347222222222222,1.7
"15","['Swarm', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,"45","Poison Bee Pokémon",40,1000000,1,65,"Spearスピアー","Beedrill",50,15,15,80,145,"bug","poison",29.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/15.png",1.1,1.125
"16","['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3840,70,251,"255","Tiny Bird Pokémon",40,1059860,0.3,40,"Poppoポッポ","Pidgey",50,16,35,35,56,"normal","flying",1.8,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/16.png",0.545652173913043,1.7125
"17","['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,349,"120","Bird Pokémon",55,1059860,1.1,63,"Pigeonピジョン","Pidgeotto",50,17,50,50,71,"normal","flying",30,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/17.png",0.751238304898184,1.22272727272727
"18","['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,3840,70,579,"45","Bird Pokémon",80,1059860,1.5,83,"Pigeotピジョット","Pidgeot",50,18,135,80,121,"normal","flying",39.5,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/18.png",1.45951417004049,0.8125
"19","['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,3840,70,253,"255","Mouse Pokémon",35,1000000,NA,30,"Korattaコラッタ","Rattata",50,19,25,35,72,"normal","dark",NA,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/19.png",0.598245614035088,1.85714285714286
"20","['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,3840,70,413,"127","Mouse Pokémon",70,1000000,NA,75,"Rattaラッタ","Raticate",50,20,40,80,77,"normal","dark",NA,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/20.png",0.81812865497076,0.870535714285714
"21","['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,262,"255","Tiny Bird Pokémon",30,1000000,0.3,40,"Onisuzumeオニスズメ","Spearow",50,21,31,31,70,"normal","flying",2,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/21.png",0.619230769230769,2.12903225806452
"22","['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3840,70,442,"90","Beak Pokémon",65,1000000,1.2,65,"Onidrillオニドリル","Fearow",50,22,61,61,100,"normal","flying",38,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/22.png",1.02727272727273,1.01765447667087
"23","['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,288,"255","Snake Pokémon",44,1000000,2,35,"Arboアーボ","Ekans",50,23,40,54,55,"poison",NA,6.9,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/23.png",0.666666666666667,1.34806397306397
"24","['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,448,"90","Cobra Pokémon",69,1000000,3.5,60,"Arbokアーボック","Arbok",50,24,65,79,80,"poison",NA,65,"1","FALSE","http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/24.png",1.06666666666667,0.886993212254632
