"abilities","against_bug","against_dark","against_dragon","against_electric","against_fairy","against_fighting","against_fire","against_flying","against_ghost","against_grass","against_ground","against_ice","against_normal","against_poison","against_psychic","against_rock","against_steel","against_water","attack","base_egg_steps","base_happiness","base_total","capture_rate","classfication","defense","experience_growth","hp","japanese_name","name","percentage_male","pokedex_number","sp_attack","sp_defense","speed","generation","is_legendary","sprite","icon","type","type1","type2","height_ft","height_m","weight_lbs","weight_kgs","bmi","avg_total"
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,45,"Seed Pokémon",49,1059860,45,"Fushigidaneフシギダネ","Bulbasaur",88.1,1,65,65,45,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/1.png","http://cdn.bulbagarden.net/upload/e/ec/001MS.png","Grass/Poison","Grass","Poison","2′04″",0.7,15.2,6.9,14.1,53
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,45,"Seed Pokémon",63,1059860,60,"Fushigisouフシギソウ","Ivysaur",88.1,2,80,80,60,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/2.png","http://cdn.bulbagarden.net/upload/6/6b/002MS.png","Grass/Poison","Grass","Poison","3′03″",1,28.7,13,13,67.5
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,625,45,"Seed Pokémon",123,1059860,80,"Fushigibanaフシギバナ","Venusaur",88.1,3,122,120,80,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/3.png","http://cdn.bulbagarden.net/upload/d/df/003MS.png","Grass/Poison","Grass","Poison","6′07″",2,220.5,100,25,104.166666666667
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,"Lizard Pokémon",43,1059860,39,"Hitokageヒトカゲ","Charmander",88.1,4,60,50,65,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/4.png","http://cdn.bulbagarden.net/upload/b/bb/004MS.png","Fire","Fire","","2′00″",0.6,18.7,8.5,23.6,51.5
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,"Flame Pokémon",58,1059860,58,"Lizardoリザード","Charmeleon",88.1,5,80,65,80,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/5.png","http://cdn.bulbagarden.net/upload/d/dc/005MS.png","Fire","Fire","","3′07″",1.1,41.9,19,15.7,67.5
"['Blaze', 'Solar Power']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,45,"Flame Pokémon",78,1059860,78,"Lizardonリザードン","Charizard",88.1,6,159,115,100,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/6.png","http://cdn.bulbagarden.net/upload/0/01/006MS.png","Fire/Flying","Fire","Flying","5′07″",1.7,199.5,90.5,31.3,105.666666666667
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,45,"Tiny Turtle Pokémon",65,1059860,44,"Zenigameゼニガメ","Squirtle",88.1,7,50,64,43,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/7.png","http://cdn.bulbagarden.net/upload/9/92/007MS.png","Water","Water","","1′08″",0.5,19.8,9,36,52.3333333333333
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,45,"Turtle Pokémon",80,1059860,59,"Kameilカメール","Wartortle",88.1,8,65,80,58,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/8.png","http://cdn.bulbagarden.net/upload/f/f3/008MS.png","Water","Water","","3′03″",1,49.6,22.5,22.5,67.5
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,45,"Shellfish Pokémon",120,1059860,79,"Kamexカメックス","Blastoise",88.1,9,135,115,78,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/9.png","http://cdn.bulbagarden.net/upload/c/cb/009MS.png","Water","Water","","5′03″",1.6,188.5,85.5,33.4,105
"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,"Worm Pokémon",35,1000000,45,"Caterpieキャタピー","Caterpie",50,10,20,20,45,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/10.png","http://cdn.bulbagarden.net/upload/6/69/010MS.png","Bug","Bug","","1′00″",0.3,6.4,2.9,32.2,32.5
