"abilities","against_bug","against_dark","against_dragon","against_electric","against_fairy","against_fighting","against_fire","against_flying","against_ghost","against_grass","against_ground","against_ice","against_normal","against_poison","against_psychic","against_rock","against_steel","against_water","attack","base_egg_steps","base_happiness","base_total","capture_rate","classfication","defense","experience_growth","height_m","hp","japanese_name","name","percentage_male","pokedex_number","sp_attack","sp_defense","speed","type1","type2","weight_kg","generation","is_legendary","sprite","icon"
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,"45","Seed Pokémon",49,1059860,0.7,45,"Fushigidaneフシギダネ","Bulbasaur",88.1,1,65,65,45,"grass","poison",6.9,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/1.png","url(http://cdn.bulbagarden.net/upload/e/ec/001MS.png)"
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,"45","Seed Pokémon",63,1059860,1,60,"Fushigisouフシギソウ","Ivysaur",88.1,2,80,80,60,"grass","poison",13,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/2.png","url(http://cdn.bulbagarden.net/upload/6/6b/002MS.png)"
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,625,"45","Seed Pokémon",123,1059860,2,80,"Fushigibanaフシギバナ","Venusaur",88.1,3,122,120,80,"grass","poison",100,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/3.png","url(http://cdn.bulbagarden.net/upload/d/df/003MS.png)"
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,"45","Lizard Pokémon",43,1059860,0.6,39,"Hitokageヒトカゲ","Charmander",88.1,4,60,50,65,"fire",NA,8.5,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/4.png","url(http://cdn.bulbagarden.net/upload/b/bb/004MS.png)"
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,"45","Flame Pokémon",58,1059860,1.1,58,"Lizardoリザード","Charmeleon",88.1,5,80,65,80,"fire",NA,19,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/5.png","url(http://cdn.bulbagarden.net/upload/d/dc/005MS.png)"
"['Blaze', 'Solar Power']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,"45","Flame Pokémon",78,1059860,1.7,78,"Lizardonリザードン","Charizard",88.1,6,159,115,100,"fire","flying",90.5,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/6.png","url(http://cdn.bulbagarden.net/upload/0/01/006MS.png)"
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,"45","Tiny Turtle Pokémon",65,1059860,0.5,44,"Zenigameゼニガメ","Squirtle",88.1,7,50,64,43,"water",NA,9,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/7.png","url(http://cdn.bulbagarden.net/upload/9/92/007MS.png)"
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,"45","Turtle Pokémon",80,1059860,1,59,"Kameilカメール","Wartortle",88.1,8,65,80,58,"water",NA,22.5,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/8.png","url(http://cdn.bulbagarden.net/upload/f/f3/008MS.png)"
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,"45","Shellfish Pokémon",120,1059860,1.6,79,"Kamexカメックス","Blastoise",88.1,9,135,115,78,"water",NA,85.5,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/9.png","url(http://cdn.bulbagarden.net/upload/c/cb/009MS.png)"
"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,"255","Worm Pokémon",35,1000000,0.3,45,"Caterpieキャタピー","Caterpie",50,10,20,20,45,"bug",NA,2.9,1,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/10.png","url(http://cdn.bulbagarden.net/upload/6/69/010MS.png)"
